1,GLA,剑术师,剣術士,Tank,TRUE,剑,剑术
2,PGL,格斗家,格闘士,Dps,TRUE,格,格斗
3,MRD,斧术师,斧術士,Tank,TRUE,斧,斧术
4,LNC,枪术师,槍術士,Dps,TRUE,枪,枪术
5,ARC,弓箭手,弓術士,Dps,TRUE,弓,弓箭
6,CNJ,幻术师,幻術士,Healer,TRUE,幻,幻术
7,THM,咒术师,呪術士,Dps,TRUE,咒,咒术
19,PLD,骑士,ナイト,Tank,FALSE,ナ,ナイト
20,MNK,武僧,モンク,Dps,FALSE,モ,モンク
21,WAR,战士,戦士,Tank,FALSE,戦,戦士
22,DRG,龙骑士,竜騎士,Dps,FALSE,竜,竜騎
23,BRD,吟游诗人,吟遊詩人,Dps,FALSE,詩,詩人
24,WHM,白魔法师,白魔道士,Healer,FALSE,白,白魔
25,BLM,黑魔法师,黒魔道士,Dps,FALSE,黒,黒魔
26,ACN,秘术师,巴術士,Dps,TRUE,秘,秘术
27,SMN,召唤师,召喚士,Dps,FALSE,召,召喚
28,SCH,学者,学者,Healer,FALSE,学,学者
29,ROG,双剑师,双剣士,Dps,TRUE,双,双剑
30,NIN,忍者,忍者,Dps,FALSE,忍,忍者
31,MCH,机工士,機工士,Dps,FALSE,機,機工
32,DRK,暗黑骑士,暗黒騎士,Tank,FALSE,暗,暗騎
33,AST,占星术士,占星術師,Healer,FALSE,占,占星
34,SAM,武士,侍,Dps,FALSE,侍,侍
35,RDM,赤魔法师,赤魔道士,Dps,FALSE,赤,赤魔
36,BLU,青魔法师,青魔道士,Dps,FALSE,青,青魔
37,GNB,绝枪战士,ガンブレイカー,Tank,FALSE,ガ,ガンブレイ
38,DNC,舞者,踊り子,Dps,FALSE,踊,踊り子
39,RPR,钐镰师,リーパー,Dps,FALSE,リ,リーパー
40,SGE,贤者,賢者,Healer,FALSE,賢,賢者
